jammer,algorithm,adapter,jsr_db,seed,oracle_target_idx_passed,oracle_jammer_type_passed,oracle_true_jammer_signal_passed,output_shape,expected_shape,shape_ok,complex_dtype_ok,finite_ok,input_unchanged,interface_status,template_finite_ok,runtime_ms,memory_usage_bytes,target_only,role,target_only_interface_status
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,42,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.3922919859178364,967579,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,42,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,43,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2880000392906368,967277,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,43,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,44,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2955410163849592,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,44,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,45,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.3078330191783607,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,45,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,46,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2827499993145466,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,46,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,47,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2738339826464653,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,47,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,48,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.27125002816319466,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,48,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,49,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.3196669858880341,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,49,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,50,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.3106660442426801,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,50,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,51,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.28449995443224907,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,0.0,51,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,42,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.27541699819266796,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,42,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,43,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2774579916149378,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,43,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,44,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.28266600565984845,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,44,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,45,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.3082919865846634,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,45,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,46,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2821669913828373,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,46,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,47,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2730839769355953,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,47,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,48,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2744580269791186,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,48,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,49,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2857919898815453,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,49,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,50,False,False,False,"(1, 5000)","(1, 5000)",True,True,True,True,PASS,True,0.2797500346787274,967037,False,algorithm,PASS
AMNoiseGaiJam,FDC,FrequencyDomainCanceller,10.0,50,False,False,False,"(1, 5000)","(1, 5000)",,True,True,True,PASS,,0.0,0,,identity,
